"Date","Price","Open","High","Low","Vol.","Change %"
"12/19/2025","5.5100","5.4275","5.5655","5.4055","51.02K","1.33%"
"12/18/2025","5.4375","5.4275","5.4690","5.3805","33.50K","0.04%"
"12/17/2025","5.4355","5.3615","5.4655","5.3610","37.25K","1.43%"
"12/16/2025","5.3590","5.4110","5.4130","5.3175","37.00K","-0.98%"
"12/15/2025","5.4120","5.3490","5.5200","5.3440","41.89K","0.99%"
"12/12/2025","5.3590","5.4885","5.5305","5.2800","65.05K","-2.59%"
"12/11/2025","5.5015","5.4020","5.5160","5.3600","51.03K","2.76%"
"12/10/2025","5.3535","5.3325","5.4230","5.3230","40.88K","0.63%"
"12/09/2025","5.3200","5.4300","5.4405","5.3135","42.35K","-2.29%"
"12/08/2025","5.4445","5.4565","5.4950","5.3950","35.41K","-0.32%"
"12/05/2025","5.4620","5.3605","5.4900","5.3455","53.21K","1.65%"
"12/04/2025","5.3735","5.3935","5.4255","5.3100","42.57K","-0.29%"
"12/03/2025","5.3890","5.2465","5.4370","5.2415","63.26K","2.78%"
"12/02/2025","5.2430","5.2700","5.3160","5.2235","47.27K","-1.13%"
"12/01/2025","5.3030","5.2825","5.3635","5.2645","56.37K","0.59%"
"11/28/2025","5.2720","5.2060","5.3095","5.1330","33.34K","2.02%"
"11/27/2025","5.1677","5.2080","5.2098","5.1330","0.01K","-0.51%"
"11/26/2025","5.1940","5.1095","5.2100","5.1010","47.88K","2.60%"
"11/25/2025","5.0625","5.0615","5.1560","5.0615","2.87K","0.73%"
"11/24/2025","5.0260","5.0650","5.0700","5.0260","2.64K","-1.37%"
"11/21/2025","5.0960","5.0330","5.1035","4.9955","42.53K","0.94%"
"11/20/2025","5.0485","5.1035","5.1330","5.0255","36.03K","-0.95%"
"11/19/2025","5.0970","5.0455","5.1155","5.0290","29.75K","0.92%"
"11/18/2025","5.0505","5.0670","5.0830","5.0235","28.83K","-0.71%"
"11/17/2025","5.0865","5.1235","5.1310","5.0380","19.20K","0.46%"
