"Date","Price","Open","High","Low","Vol.","Change %"
"01/30/2026","17,697.63","18,330.63","18,330.63","17,484.00","","-3.19%"
"01/29/2026","18,280.63","18,385.50","19,098.88","18,184.13","","-0.46%"
"01/28/2026","18,364.63","18,321.50","18,614.38","18,021.50","","1.44%"
"01/27/2026","18,103.88","18,474.25","18,699.38","18,020.88","","-2.39%"
"01/26/2026","18,547.38","18,765.25","19,137.50","18,366.25","","-0.08%"
"01/23/2026","18,562.13","18,146.25","18,847.00","18,071.25","","3.08%"
"01/22/2026","18,008.00","17,830.88","18,140.75","17,773.50","","0.40%"
"01/21/2026","17,936.63","17,660.75","18,116.38","17,605.00","","1.24%"
"01/20/2026","17,716.88","18,068.38","18,120.50","17,493.63","","-2.08%"
"01/19/2026","18,094.13","17,838.38","18,158.13","17,800.88","","2.39%"
"01/16/2026","17,671.38","18,451.25","18,733.50","17,472.88","","-4.27%"
"01/15/2026","18,459.63","18,674.50","18,774.25","17,887.00","","-1.50%"
"01/14/2026","18,741.50","17,568.13","18,861.63","17,513.75","","6.29%"
"01/13/2026","17,631.88","17,882.75","18,154.38","17,520.50","","-1.56%"
"01/12/2026","17,910.63","17,928.75","18,238.88","17,423.88","","1.10%"
"01/09/2026","17,715.75","17,014.75","17,889.50","16,891.50","","3.92%"
"01/08/2026","17,048.00","17,687.50","18,126.75","16,801.50","","-4.22%"
"01/07/2026","17,799.50","18,433.13","18,760.50","17,737.00","","-3.96%"
"01/06/2026","18,532.50","17,219.88","18,748.63","17,215.75","","7.70%"
"01/05/2026","17,207.50","16,824.75","17,210.00","16,692.63","","2.70%"
"01/02/2026","16,755.75","16,683.38","16,929.38","16,683.38","","0.44%"
"12/31/2025","16,681.88","16,692.75","16,820.00","16,252.00","","-0.56%"
"12/30/2025","16,775.63","15,716.00","16,828.38","15,716.00","","6.60%"
"12/29/2025","15,737.63","15,856.25","16,002.75","15,526.50","","0.68%"
"12/24/2025","15,631.38","15,651.88","15,953.75","15,503.50","","-0.48%"
"12/23/2025","15,706.00","15,205.38","15,949.00","15,145.25","","2.98%"
"12/22/2025","15,251.88","14,851.00","15,274.63","14,831.50","","3.33%"
"12/19/2025","14,760.63","14,568.00","14,846.38","14,568.00","","1.50%"
"12/18/2025","14,542.88","14,304.50","14,637.38","14,304.50","","1.39%"
"12/17/2025","14,343.13","14,197.88","14,461.50","14,197.88","","0.76%"
"12/16/2025","14,235.38","14,221.25","14,319.88","14,218.25","","-0.17%"
"12/15/2025","14,259.63","14,543.00","14,573.00","14,231.38","","-2.13%"
"12/12/2025","14,569.38","14,551.38","14,701.13","14,531.13","","-0.31%"
"12/11/2025","14,614.38","14,617.63","14,727.50","14,517.25","","-0.15%"
"12/10/2025","14,636.38","14,670.38","14,800.50","14,616.88","","-0.53%"
"12/09/2025","14,714.63","14,810.38","14,871.75","14,692.38","","-1.00%"
"12/08/2025","14,862.63","14,914.50","14,925.00","14,798.38","","-0.32%"
"12/05/2025","14,910.38","14,817.63","14,936.13","14,817.63","","0.33%"
"12/04/2025","14,860.88","14,867.00","14,915.63","14,829.75","","-0.07%"
"12/03/2025","14,871.38","14,696.00","14,910.88","14,696.00","","0.65%"
"12/02/2025","14,774.88","14,806.38","14,904.88","14,742.88","","-0.60%"
"12/01/2025","14,864.13","14,817.50","14,947.25","14,774.63","","0.37%"
"11/28/2025","14,809.38","14,765.63","14,873.63","14,765.63","","0.03%"
"11/27/2025","14,805.63","14,774.13","14,831.63","14,748.75","","0.08%"
"11/26/2025","14,793.88","14,834.25","14,889.88","14,764.88","","-0.47%"
"11/25/2025","14,864.13","14,686.75","14,904.38","14,628.88","","1.27%"
"11/24/2025","14,677.88","14,544.25","14,697.13","14,514.25","","1.04%"
"11/21/2025","14,526.13","14,388.50","14,526.13","14,312.88","","0.60%"
"11/20/2025","14,439.88","14,583.50","14,647.00","14,388.63","","-1.35%"
"11/19/2025","14,637.63","14,567.75","14,678.25","14,563.38","","0.15%"
"11/18/2025","14,615.38","14,585.88","14,629.13","14,495.50","","-0.20%"
"11/17/2025","14,644.63","14,842.00","14,849.50","14,601.38","","-1.36%"
"11/14/2025","14,846.38","14,882.50","14,955.25","14,750.13","","-0.63%"
"11/13/2025","14,940.88","14,963.50","15,055.38","14,931.88","","-0.44%"
"11/12/2025","15,006.38","14,950.38","15,048.38","14,950.38","","-0.03%"
"11/11/2025","15,011.63","15,033.00","15,103.00","14,998.13","","-0.54%"
"11/10/2025","15,093.38","15,042.00","15,155.88","15,036.00","","0.30%"
"11/07/2025","15,048.63","14,996.25","15,093.88","14,996.25","","0.06%"
"11/06/2025","15,039.38","14,967.25","15,146.88","14,967.25","","0.25%"
"11/05/2025","15,001.13","14,994.50","15,113.50","14,986.88","","-0.43%"
"11/04/2025","15,066.63","15,050.63","15,141.00","15,036.88","","-0.28%"
"11/03/2025","15,108.38","15,201.00","15,274.75","15,100.88","","-0.73%"
"10/31/2025","15,218.88","15,210.25","15,253.63","15,159.38","","0.10%"
"10/30/2025","15,203.13","15,327.13","15,358.00","15,158.88","","-1.08%"
"10/29/2025","15,369.25","15,205.63","15,376.63","15,205.63","","0.59%"
"10/28/2025","15,279.13","15,243.00","15,302.63","15,127.25","","0.09%"
"10/27/2025","15,264.88","15,374.13","15,395.88","15,191.13","","-0.47%"
"10/24/2025","15,336.38","15,288.00","15,366.88","15,229.25","","0.00%"
"10/23/2025","15,337.13","15,078.50","15,372.88","15,078.50","","1.22%"
"10/22/2025","15,152.38","15,176.25","15,196.13","15,105.38","","-0.08%"
"10/21/2025","15,164.13","15,155.25","15,242.50","15,128.38","","-0.35%"
"10/20/2025","15,217.13","15,104.00","15,217.13","15,082.13","","0.70%"
"10/17/2025","15,111.38","15,248.50","15,279.50","15,067.88","","-0.98%"
"10/16/2025","15,260.63","15,099.50","15,271.88","15,099.50","","0.61%"
"10/15/2025","15,168.13","15,063.00","15,240.38","15,063.00","","0.35%"
"10/14/2025","15,115.13","15,135.88","15,205.25","15,087.63","","-0.37%"
"10/13/2025","15,171.88","15,225.00","15,323.75","15,169.38","","-0.32%"
"10/10/2025","15,220.13","15,411.13","15,453.00","15,145.88","","-1.61%"
"10/09/2025","15,468.88","15,305.00","15,606.88","15,278.00","","0.82%"
"10/08/2025","15,343.63","15,410.00","15,461.25","15,301.13","","-0.82%"
"10/07/2025","15,470.88","15,388.13","15,507.50","15,388.13","","0.11%"
"10/06/2025","15,453.13","15,401.00","15,467.25","15,297.13","","0.05%"
"10/03/2025","15,445.00","15,238.63","15,470.63","15,238.63","","0.95%"
"10/02/2025","15,299.13","15,175.75","15,332.38","15,143.50","","0.83%"
"10/01/2025","15,173.63","15,192.63","15,262.13","15,134.13","","-0.29%"
"09/30/2025","15,217.13","15,256.25","15,304.25","15,174.38","","-0.56%"
"09/29/2025","15,302.38","15,157.50","15,327.38","15,153.25","","1.00%"
"09/26/2025","15,150.38","15,194.75","15,259.75","15,131.88","","-0.67%"
"09/25/2025","15,252.88","15,366.75","15,491.38","15,230.88","","-1.04%"
"09/24/2025","15,413.13","15,268.25","15,429.13","15,250.38","","0.51%"
"09/23/2025","15,335.38","15,151.13","15,352.13","15,145.00","","0.91%"
"09/22/2025","15,197.13","15,261.75","15,334.75","15,183.88","","-0.31%"
"09/19/2025","15,243.88","15,264.13","15,360.75","15,236.63","","0.07%"
"09/18/2025","15,232.63","15,379.75","15,379.75","15,193.13","","-0.98%"
"09/17/2025","15,382.88","15,402.50","15,409.75","15,178.88","","-0.10%"
"09/16/2025","15,397.88","15,337.38","15,421.13","15,337.38","","0.05%"
"09/15/2025","15,389.63","15,341.25","15,505.13","15,289.50","","0.21%"
"09/12/2025","15,357.38","15,222.25","15,375.88","15,186.38","","1.02%"
"09/11/2025","15,202.88","15,089.88","15,236.25","15,035.63","","0.30%"
"09/10/2025","15,156.88","15,052.63","15,169.38","15,034.63","","0.33%"
"09/09/2025","15,107.38","15,184.00","15,221.50","15,067.13","","-0.53%"
"09/08/2025","15,187.38","15,262.00","15,387.88","15,165.88","","-0.52%"
"09/05/2025","15,267.13","15,175.63","15,353.88","15,165.50","","0.57%"
"09/04/2025","15,181.13","15,261.00","15,261.00","15,127.88","","-0.61%"
"09/03/2025","15,274.25","15,244.88","15,354.50","15,177.00","","0.38%"
"09/02/2025","15,217.00","15,413.50","15,444.50","15,160.00","","-1.31%"
"09/01/2025","15,418.50","15,401.75","15,493.50","15,387.75","","0.09%"
