Date;Price;Open;High;Low;Vol.;Change %;;Kolumna B: symbol → wpisz HG=F we wszystkich wierszach (przeciągnij w dół)
04/30/2024;26.654;27.455;27.25;26.52;64.62K;-3.64%;;
04/29/2024;27.66;27.5;27.455;26.515;87.80K;0.57%;;
04/25/2024;27.502;27.385;27.745;27.09;68.25K;0.02%;;
04/24/2024;27.496;27.45;27.61;27;83.80K;-0.05%;;
04/23/2024;27.511;27.42;27.525;27.06;70.17K;0.42%;;
04/22/2024;27.397;28.78;27.42;26.715;107.52K;-3.98%;;
04/18/2024;28.532;28.455;29.01;28.12;89.50K;-0.07%;;
04/17/2024;28.553;28.405;28.735;28.21;72.23K;0.09%;;
04/16/2024;28.526;29.14;28.895;28.145;102.41K;-1.18%;;
04/15/2024;28.866;28.38;29.1;28.03;107.02K;1.64%;;
04.11.2024;28.401;28.115;29.905;27.945;191.81K;0.70%;;
04.10.2024;28.204;28.46;28.6;27.84;89.11K;0.25%;;
04.09.2024;28.134;28.18;28.655;27.64;157.99K;0.64%;;
04.08.2024;27.956;27.435;28.44;27.725;125.25K;2.09%;;
04.04.2024;27.385;27.455;27.615;26.4;122.33K;0.70%;;
04.03.2024;27.195;26.46;27.455;26.785;104.38K;4.37%;;
04.02.2024;26.057;25.4;27.325;26.235;139.59K;3.39%;;
04.01.2024;25.203;25.36;26.295;25.195;133.45K;1.30%;;
03/27/2024;24.879;24.855;25.13;24.505;74.08K;1.04%;;
03/26/2024;24.623;24.845;24.79;24.445;57.54K;-1.08%;;
03/25/2024;24.891;24.85;25.055;24.515;69.88K;-0.46%;;
03/21/2024;25.007;25.79;25.11;24.58;57.39K;-0.39%;;
03/20/2024;25.104;25.09;25.975;24.82;104.11K;-0.12%;;
03/19/2024;25.135;25.25;25.835;24.93;68.27K;-0.51%;;
